"타임스탬프","자신의 점수","자신의 퍼센트","자신의 등수","하고싶은말"
"2018/11/18 4:31:18 오전 GMT+9","383991","3","","배고프다"
"2018/11/18 4:31:45 오전 GMT+9","21320","52","","첫 랭킹전"
"2018/11/18 4:32:06 오전 GMT+9","410755","2","","바닥작은... 떡상할것이다...!"
"2018/11/18 4:32:16 오전 GMT+9","413422","2","","우중비모"
"2018/11/18 4:33:16 오전 GMT+9","486881","1","",""
"2018/11/18 4:33:40 오전 GMT+9","59","100","",""
"2018/11/18 4:34:06 오전 GMT+9","399520","2","",""
"2018/11/18 4:38:14 오전 GMT+9","400000","2","","기준선을 자처하겠읍니다"
"2018/11/18 4:38:48 오전 GMT+9","324037","5","","안냥!"
"2018/11/18 4:41:26 오전 GMT+9","320587","5","",""
"2018/11/18 4:41:53 오전 GMT+9","59","100","",""
"2018/11/18 4:42:25 오전 GMT+9","95747","22","",""
"2018/11/18 4:43:22 오전 GMT+9","5266","73","",""
"2018/11/18 4:43:48 오전 GMT+9","400000","2","",""
"2018/11/18 4:45:07 오전 GMT+9","331017","4","",""
"2018/11/18 4:46:11 오전 GMT+9","625069","0","10",""
"2018/11/18 4:46:37 오전 GMT+9","459","95","",""
"2018/11/18 4:48:38 오전 GMT+9","377196","3","","우중이 애미 헬리혜성 뚫고 날라감"
"2018/11/18 4:53:07 오전 GMT+9","444462","1","",""
"2018/11/18 4:55:24 오전 GMT+9","755","87","","바닥작 미친ㅋㅋㅋ"
"2018/11/18 5:00:08 오전 GMT+9","41181","37","",""
"2018/11/18 5:02:27 오전 GMT+9","455564","1","",""
"2018/11/18 5:03:10 오전 GMT+9","1214","83","",""
"2018/11/18 5:04:52 오전 GMT+9","384591","2","","이시ㅣㅣㅣㅣ발이벤트"
"2018/11/18 5:05:31 오전 GMT+9","1214","83","","복수응답. 퍼센트가 5% 올랐다고 함."
"2018/11/18 5:06:22 오전 GMT+9","81978","24","",""
"2018/11/18 5:15:51 오전 GMT+9","246772","9","",""
"2018/11/18 5:16:26 오전 GMT+9","447725","1","",""
"2018/11/18 5:17:04 오전 GMT+9","38948","38","",""
"2018/11/18 5:18:21 오전 GMT+9","273918","7","",""
"2018/11/18 5:19:41 오전 GMT+9","415264","2","","바닥작 효과있따"
"2018/11/18 5:20:41 오전 GMT+9","1145","85","","바닥작 효과있따"
"2018/11/18 5:21:26 오전 GMT+9","459","95","","바닥작 효과있따"
"2018/11/18 5:22:19 오전 GMT+9","59","100","","바닥작 효과있따! %기잇! (4번째 응답이다 힘들다 이제)"
"2018/11/18 5:28:10 오전 GMT+9","596227","0","22","뀨"
"2018/11/18 5:31:17 오전 GMT+9","755","87","",""
"2018/11/18 5:34:46 오전 GMT+9","350000","40","",""
"2018/11/18 5:37:34 오전 GMT+9","362634","3","","뭐지 주말인데 왜 퍼센트가 별로 안떨어지지 다들 자나"
"2018/11/18 5:38:51 오전 GMT+9","52929","31","","11월 18일 새벽5시 38분기준임."
"2018/11/18 5:39:25 오전 GMT+9","36496","40","",""
"2018/11/18 5:40:00 오전 GMT+9","463729","1","",""
"2018/11/18 5:43:37 오전 GMT+9","86512","23","","우리는 잘못한거 없다"
"2018/11/18 5:50:36 오전 GMT+9","320587","5","",""
"2018/11/18 6:05:39 오전 GMT+9","132682","17","","현재 신기록 287783점인데 리트하던중에 랭킹갱신되서 반영이 안돼있음.
내일도 참여함. 고생해"
"2018/11/18 6:21:55 오전 GMT+9","323237","5","",""
"2018/11/18 6:29:28 오전 GMT+9","500550","1","","ㅆ"
"2018/11/18 6:40:21 오전 GMT+9","188495","13","",""
"2018/11/18 6:48:49 오전 GMT+9","492674","1","",""
"2018/11/18 6:49:11 오전 GMT+9","424483","2","",""
"2018/11/18 6:49:32 오전 GMT+9","270500","10","","난이도 우중이 엄마없음 씨발"
"2018/11/18 6:50:31 오전 GMT+9","59","100","",""
"2018/11/18 6:53:46 오전 GMT+9","2139","80","",""
"2018/11/18 7:00:01 오전 GMT+9","135000","0","",""
"2018/11/18 7:02:57 오전 GMT+9","460917","1","",""
"2018/11/18 7:10:18 오전 GMT+9","3218","77","","삿팔뭉치 뿌요뿌요 만지고싶다"
"2018/11/18 7:17:19 오전 GMT+9","7581","68","",""
"2018/11/18 7:27:00 오전 GMT+9","428514","1","",""
"2018/11/18 7:29:23 오전 GMT+9","408940","2","",""
"2018/11/18 7:31:55 오전 GMT+9","411897","2","",""
"2018/11/18 7:32:19 오전 GMT+9","459","91","",""
"2018/11/18 7:32:58 오전 GMT+9","459","88","",""
"2018/11/18 7:37:23 오전 GMT+9","416000","2","",""
"2018/11/18 7:38:50 오전 GMT+9","120771","18","",""
"2018/11/18 7:41:40 오전 GMT+9","236624","9","","이전 히든들 비교하면 바닥작 효과가 엄청난 편인가요?"
"2018/11/18 7:43:36 오전 GMT+9","377937","3","",""
"2018/11/18 7:46:11 오전 GMT+9","457303","1","",""
"2018/11/18 7:50:16 오전 GMT+9","322408","5","",""
"2018/11/18 7:57:05 오전 GMT+9","323077","5","","바닥작 차냥해!"
"2018/11/18 8:06:36 오전 GMT+9","1197","84","",""
"2018/11/18 8:07:16 오전 GMT+9","31185","43","",""
"2018/11/18 8:11:39 오전 GMT+9","5550","72","",""
"2018/11/18 8:13:17 오전 GMT+9","331087","4","","히잉 황금요정 얻고싶어양"
"2018/11/18 8:13:54 오전 GMT+9","320719","5","",""
"2018/11/18 8:19:15 오전 GMT+9","414210","2","",""
"2018/11/18 8:21:56 오전 GMT+9","10472","64","",""
"2018/11/18 8:26:30 오전 GMT+9","220167","12","","첫트인데 더이상 안하고 전장먹고싶다"
"2018/11/18 8:27:06 오전 GMT+9","164558","15","",""
"2018/11/18 8:30:49 오전 GMT+9","21000","50","","소린이 빼액."
"2018/11/18 8:34:35 오전 GMT+9","318437","5","","화이또"
"2018/11/18 8:34:39 오전 GMT+9","30000","45","","다음 이벤트 때는 랭킹별 보상이 아닌 점수별 보상으로 해 주시고,신규유저,복귀유저를 위해 디맥 콜라보때처럼 난이도 분화를 해주세요 부탁입니다"
"2018/11/18 8:36:51 오전 GMT+9","320000","5","","수고하세"
"2018/11/18 8:37:47 오전 GMT+9","397408","2","","우중비모"
"2018/11/18 8:40:57 오전 GMT+9","8254","67","","바닥작 파이팅"
"2018/11/18 8:45:29 오전 GMT+9","215305","11","",""
"2018/11/18 8:50:32 오전 GMT+9","144872","16","",""
"2018/11/18 8:52:21 오전 GMT+9","216305","11","","히든 좆같다"
"2018/11/18 8:52:57 오전 GMT+9","250171","9","","Always thank u"
"2018/11/18 8:54:11 오전 GMT+9","405181","2","",""
"2018/11/18 8:56:53 오전 GMT+9","24236","49","",""
"2018/11/18 9:05:46 오전 GMT+9","310000","5","",""
"2018/11/18 9:08:21 오전 GMT+9","459","88","","이게 요즘 유행이라며 상대 평가 망해라!!!!!"
"2018/11/18 9:10:35 오전 GMT+9","501144","1","",""
"2018/11/18 9:11:23 오전 GMT+9","459","92","","무적의 바닥작부대"
"2018/11/18 9:14:50 오전 GMT+9","459","88","",""
"2018/11/18 9:16:08 오전 GMT+9","440504","1","",""
"2018/11/18 9:17:16 오전 GMT+9","272503","7","",""
"2018/11/18 9:17:36 오전 GMT+9","467776","1","",""
"2018/11/18 9:18:10 오전 GMT+9","7790","68","",""
"2018/11/18 9:18:58 오전 GMT+9","288886","6","","구아 전장 가즈아!"
"2018/11/18 9:23:49 오전 GMT+9","308752","5","","거신 운빨ㅈ망"
"2018/11/18 9:27:52 오전 GMT+9","459","88","","바닥작"
"2018/11/18 9:28:13 오전 GMT+9","459","88","","바닥작"
"2018/11/18 9:29:09 오전 GMT+9","411846","2","",""
"2018/11/18 9:31:22 오전 GMT+9","459","90","","바닥작 흥해라"
"2018/11/18 9:32:49 오전 GMT+9","3504","76","",""
"2018/11/18 9:42:27 오전 GMT+9","30899","5","",""
"2018/11/18 9:45:00 오전 GMT+9","272688","7","",""
"2018/11/18 9:46:12 오전 GMT+9","459","93","",""
"2018/11/18 9:46:37 오전 GMT+9","459","93","",""
"2018/11/18 9:47:17 오전 GMT+9","459","93","","바닥작이야말로 공산주의의 승리!"
"2018/11/18 9:47:30 오전 GMT+9","408486","2","",""
"2018/11/18 9:49:30 오전 GMT+9","289453","6","",""
"2018/11/18 9:50:01 오전 GMT+9","32875","42","",""
"2018/11/18 9:51:25 오전 GMT+9","459","93","",""
"2018/11/18 9:51:47 오전 GMT+9","408372","2","",""
"2018/11/18 9:53:33 오전 GMT+9","284994","6","","우중비모"
"2018/11/18 9:58:49 오전 GMT+9","120861","19","",""
"2018/11/18 10:00:24 오전 GMT+9","459","96","","만들어서까지 바닥 깔기는 귀찮고 본계정으로 깔고 감"
"2018/11/18 10:00:47 오전 GMT+9","994","85","","바닥작 반자이"
"2018/11/18 10:13:05 오전 GMT+9","379344","3","",""
"2018/11/18 10:20:48 오전 GMT+9","459","98","",""
"2018/11/18 10:21:36 오전 GMT+9","459","98","",""
"2018/11/18 10:21:47 오전 GMT+9","459","98","",""
"2018/11/18 10:23:33 오전 GMT+9","200861","12","",""
"2018/11/18 10:23:42 오전 GMT+9","398514","2","","설문조사 화이팅"
"2018/11/18 10:23:48 오전 GMT+9","113000","19","",""
"2018/11/18 10:26:38 오전 GMT+9","459","98","",""
"2018/11/18 10:30:02 오전 GMT+9","258746","8","","아직 초반이라서 8퍼? ㅈㄴ개 대충했는데 머임 ㄷ"
"2018/11/18 10:31:28 오전 GMT+9","297005","6","","우중아 적이 너무 단단하다...."
"2018/11/18 10:33:45 오전 GMT+9","459","95","",""
"2018/11/18 10:34:22 오전 GMT+9","262986","8","",""
"2018/11/18 10:35:15 오전 GMT+9","410765","2","",""
"2018/11/18 10:38:47 오전 GMT+9","403684","2","","우중비모"
"2018/11/18 10:41:13 오전 GMT+9","441332","1","",""
"2018/11/18 10:42:47 오전 GMT+9","329307","4","","바닥작 ㄱㅅ"
"2018/11/18 10:42:59 오전 GMT+9","246276","9","",""
"2018/11/18 10:49:38 오전 GMT+9","517302","0","87","섹스하고싶다"
"2018/11/18 10:50:44 오전 GMT+9","491421","1","",""
"2018/11/18 10:52:01 오전 GMT+9","333583","4","",""
"2018/11/18 10:57:47 오전 GMT+9","458488","1","",""
"2018/11/18 10:58:00 오전 GMT+9","272794","7","",""
"2018/11/18 10:59:34 오전 GMT+9","403525","2","",""
"2018/11/18 11:04:15 오전 GMT+9","459","100","",""
"2018/11/18 11:04:31 오전 GMT+9","459","100","",""
"2018/11/18 11:05:03 오전 GMT+9","7298","69","","qwerty"
"2018/11/18 11:07:47 오전 GMT+9","459","92","","우중 탈모"
"2018/11/18 11:10:36 오전 GMT+9","86648","23","",""
"2018/11/18 11:13:48 오전 GMT+9","16000","56","",""
"2018/11/18 11:14:16 오전 GMT+9","86676","23","",""
