0,801803
1,750920
2,742249
3,694469
4,633088
5,586652
6,540216
7,503630
8,453548
9,403467
10,360100
11,316733
12,273366
13,230000
14,219625
15,209250
16,198875
17,188500
18,185055
19,181611
20,178166
21,174722
22,171277
23,167833
24,164388
25,160944
26,157500
27,155384
28,153269
29,151153
30,149038
31,146923
32,144807
33,142692
34,140576
35,138461
36,136346
37,134230
38,132115
39,130000
40,127884
41,125769
42,123653
43,121538
44,119423
45,117307
46,115192
47,113076
48,110961
49,108846
50,106730
51,104615
52,102500
53,100364
54,98229
55,96093
56,93958
57,91823
58,89687
59,87552
60,85416
61,83281
62,81146
63,79010
64,76875
65,74739
66,72604
67,70469
68,68333
69,66198
70,64062
71,61927
72,59792
73,57656
74,55521
75,53385
76,51250
77,49115
78,46979
79,44844
80,42708
81,40573
82,38438
83,36302
84,34167
85,32031
86,29896
87,27761
88,25625
89,23490
90,21354
91,19219
92,17084
93,14948
94,12813
95,10677
96,8542
97,6407
98,4271
99,2136
100,1
