0,653251
1,581019
2,538233
3,506889
4,475799
5,453249
6,435109
7,420327
8,407747
9,396539
10,384590
11,371917
12,360648
13,350188
14,341967
15,330720
16,321203
17,312050
18,304633
19,295157
20,286312
21,278454
22,271420
23,266678
24,255940
25,250000
26,240370
27,232780
28,224969
29,218252
30,211272
31,203477
32,196248
33,186101
34,176861
35,165053
36,159011
37,145617
38,141812
39,127605
40,120467
41,114494
42,104632
43,95274
44,90538
45,85235
46,78501
47,71440
48,65152
49,59636
50,54895
51,50926
52,47731
53,45216
54,42825
55,40466
56,38137
57,35839
58,33573
59,31338
60,29133
61,26960
62,24818
63,22716
64,20708
65,18802
66,16999
67,15299
68,13702
69,12207
70,10814
71,9525
72,8338
73,7253
74,6266
75,5368
76,4561
77,3844
78,3218
79,2669
80,2121
81,1587
82,1214
83,993
84,754
85,561
86,458
87,458
88,466
89,465
90,455
91,437
92,410
93,377
94,359
95,358
96,374
97,408
98,459
99,458
100,1
